Unnamed: 0,state_total,NSW_total,VIC_total,QLD_total,SA_total,WA_total,TAS_total,ACT_total
Jun-2013,1081.5,241.3,147.0,578.3,57.4,43.7,13.7,0.0
Sep-2013,1177.9,265.5,161.4,638.9,50.2,47.8,14.1,0.0
Dec-2013,1137.6,248.2,174.7,571.1,61.4,63.5,18.7,0.0
Mar-2014,1087.3,238.7,184.9,528.3,66.9,46.1,22.5,0.0
Jun-2014,1073.4,233.9,169.5,548.7,57.4,46.2,17.7,0.0
Sep-2014,1181.5,260.2,197.1,594.0,59.6,52.6,18.0,0.0
Dec-2014,1212.7,267.5,225.5,573.6,60.5,66.6,18.9,0.0
Mar-2015,1145.4,268.7,219.3,529.6,58.8,49.6,19.5,0.0
Jun-2015,1119.5,242.5,189.1,564.4,60.1,43.3,20.0,0.0
Sep-2015,1151.0,257.2,158.0,605.0,58.5,53.8,18.5,0.0
Dec-2015,1141.1,229.1,179.3,580.2,60.6,64.8,27.2,0.0
Mar-2016,991.8,203.6,165.8,496.0,53.6,47.5,25.2,0.0
Jun-2016,971.5,202.9,134.7,513.6,56.4,43.5,20.4,0.0
Sep-2016,901.1,175.4,118.9,485.0,55.1,50.4,16.3,0.0
Dec-2016,995.5,214.0,137.6,508.6,55.9,58.9,20.5,0.0
Mar-2017,928.4,209.8,140.0,460.1,48.6,47.9,22.1,0.0
Jun-2017,976.3,201.6,126.6,524.8,62.7,42.9,17.7,0.0
Sep-2017,1037.1,208.5,140.1,550.6,67.1,48.3,22.5,0.0
Dec-2017,962.2,210.3,144.4,453.1,70.1,55.7,28.6,0.0
Mar-2018,942.5,231.2,149.5,452.4,36.6,45.7,27.1,0.0
Jun-2018,965.3,210.6,150.1,506.5,32.5,41.6,23.9,0.0
Sep-2018,1007.1,216.6,144.0,556.4,29.2,34.9,26.1,0.0
Dec-2018,960.1,231.9,153.6,467.5,33.6,45.5,28.1,0.0
Mar-2019,912.1,218.2,153.7,449.7,29.0,34.3,27.2,0.0
Jun-2019,884.5,202.3,147.3,445.0,27.1,38.5,24.3,0.0
Sep-2019,976.0,210.4,152.7,521.1,28.5,39.8,23.5,0.0
Dec-2019,956.9,209.0,160.5,484.8,29.5,45.3,27.9,0.0
Mar-2020,922.9,202.9,160.9,460.6,30.6,38.5,29.4,0.0
Jun-2020,834.5,182.9,121.9,444.4,20.9,38.5,25.9,0.0
Sep-2020,828.6,166.0,104.5,466.0,22.1,42.3,27.7,0.0
Dec-2020,809.6,171.9,127.8,407.1,27.2,49.2,26.4,0.0
Mar-2021,770.7,169.1,121.3,399.2,19.0,39.7,22.3,0.0
Jun-2021,806.8,169.7,109.6,447.9,17.1,38.8,23.8,0.0
Sep-2021,886.9,177.6,105.1,536.4,20.8,25.3,21.7,0.0
Dec-2021,836.4,179.1,116.3,452.4,23.8,41.7,23.3,0.0
Mar-2022,793.1,195.1,105.3,410.8,20.6,37.8,23.4,0.0
Jun-2022,829.7,189.0,108.4,449.4,25.4,39.7,17.7,0.0
Sep-2022,875.4,184.4,113.9,492.1,22.3,42.7,20.1,0.0
Dec-2022,847.2,178.0,114.1,461.8,21.4,49.4,22.4,0.0
Mar-2023,888.4,199.3,120.6,477.3,22.2,44.5,24.5,0.0
Jun-2023,898.0,195.0,127.2,484.8,22.9,44.9,23.3,0.0
Sep-2023,971.1,198.1,138.7,535.1,26.8,45.5,27.0,0.0
Dec-2023,972.0,206.1,154.0,494.3,35.8,52.7,29.2,0.0
Mar-2024,929.6,197.6,151.3,470.4,35.9,47.2,27.3,0.0
Jun-2024,988.6,192.6,154.3,536.2,36.1,46.6,22.8,0.0
Sep-2024,1071.8,190.2,158.7,611.3,41.0,45.3,25.4,0.0
Dec-2024,1028.4,190.4,152.0,565.3,42.5,49.4,28.9,0.0
